engine,agent,mcts_iterations,mcts_rollout_depth,mcts_exploration,size,map_type,enemy_profile,item_profile,wall_profile,enemy_count_setting,items,wall_density,player_hp,enemy_hp,ofat_factor,ofat_value,max_steps,seed,episode,map_seed,experiment_name,cell_id,won,turns,damage_taken,final_hp,remaining_enemies,map_width,map_height,generated_enemy_count,generated_obstacle_count,generated_obstacle_density,structurally_valid,reachable_floor_fraction,interior_wall_density,dead_end_count,chokepoint_count,min_enemy_attack_distance,avg_enemy_attack_distance,max_enemy_attack_distance
griddly,mcts_medium,200,30,1.4142135623730951,medium,baseline,heavy,many,open,high,many,low,4,2,enemy_profile,heavy,120,11,15,26,ofat_real,ofat:factor=enemy_profile:value=heavy:size=medium:map_type=baseline:enemy_profile=heavy:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_medium,0,5,4,0,4,13,11,4,10,0.09,1,0.9550561797752809,0.10101010101010101,5,7,2,3.5,6
griddly,mcts_medium,200,30,1.4142135623730951,medium,baseline,heavy,many,open,high,many,low,4,2,enemy_profile,heavy,120,11,16,27,ofat_real,ofat:factor=enemy_profile:value=heavy:size=medium:map_type=baseline:enemy_profile=heavy:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_medium,1,21,2,2,0,13,11,4,13,0.09,1,0.8953488372093024,0.13131313131313133,5,6,3,6.75,9
griddly,mcts_medium,200,30,1.4142135623730951,medium,baseline,heavy,many,open,high,many,low,4,2,enemy_profile,heavy,120,11,17,28,ofat_real,ofat:factor=enemy_profile:value=heavy:size=medium:map_type=baseline:enemy_profile=heavy:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_medium,1,26,3,1,0,13,11,4,12,0.09,1,0.9310344827586207,0.12121212121212122,4,4,6,6.75,8
griddly,mcts_medium,200,30,1.4142135623730951,medium,baseline,heavy,many,open,high,many,low,4,2,enemy_profile,heavy,120,11,18,29,ofat_real,ofat:factor=enemy_profile:value=heavy:size=medium:map_type=baseline:enemy_profile=heavy:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_medium,1,24,3,1,0,13,11,4,10,0.09,1,0.9550561797752809,0.10101010101010101,3,4,3,6.25,8
griddly,mcts_medium,200,30,1.4142135623730951,medium,baseline,heavy,many,open,high,many,low,4,2,enemy_profile,heavy,120,11,19,30,ofat_real,ofat:factor=enemy_profile:value=heavy:size=medium:map_type=baseline:enemy_profile=heavy:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_medium,1,18,2,2,0,13,11,4,6,0.09,1,0.956989247311828,0.06060606060606061,2,2,4,4.75,6
griddly,mcts_medium,200,30,1.4142135623730951,medium,baseline,heavy,many,open,high,many,low,4,2,enemy_profile,heavy,120,11,20,31,ofat_real,ofat:factor=enemy_profile:value=heavy:size=medium:map_type=baseline:enemy_profile=heavy:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_medium,1,22,2,2,0,13,11,4,6,0.09,1,0.956989247311828,0.06060606060606061,1,2,4,10.5,16
griddly,mcts_medium,200,30,1.4142135623730951,medium,baseline,heavy,many,open,high,many,low,4,2,enemy_profile,heavy,120,11,21,32,ofat_real,ofat:factor=enemy_profile:value=heavy:size=medium:map_type=baseline:enemy_profile=heavy:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_medium,1,16,3,1,0,13,11,4,12,0.09,1,0.9540229885057471,0.12121212121212122,3,3,4,8.25,11
griddly,mcts_medium,200,30,1.4142135623730951,medium,baseline,heavy,many,open,high,many,low,4,2,enemy_profile,heavy,120,11,22,33,ofat_real,ofat:factor=enemy_profile:value=heavy:size=medium:map_type=baseline:enemy_profile=heavy:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_medium,0,13,4,0,1,13,11,4,9,0.09,1,0.9444444444444444,0.09090909090909091,2,2,5,9.0,11
griddly,mcts_medium,200,30,1.4142135623730951,medium,baseline,heavy,many,open,high,many,low,4,2,enemy_profile,heavy,120,11,23,34,ofat_real,ofat:factor=enemy_profile:value=heavy:size=medium:map_type=baseline:enemy_profile=heavy:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_medium,0,8,4,0,2,13,11,4,7,0.09,1,0.9456521739130435,0.0707070707070707,1,1,2,6.25,14
griddly,mcts_medium,200,30,1.4142135623730951,medium,baseline,heavy,many,open,high,many,low,4,2,enemy_profile,heavy,120,11,24,35,ofat_real,ofat:factor=enemy_profile:value=heavy:size=medium:map_type=baseline:enemy_profile=heavy:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_medium,1,27,3,1,0,13,11,4,7,0.09,1,0.9456521739130435,0.0707070707070707,1,2,2,3.25,6
griddly,mcts_medium,200,30,1.4142135623730951,medium,baseline,heavy,many,open,high,many,low,4,2,enemy_profile,heavy,120,11,25,36,ofat_real,ofat:factor=enemy_profile:value=heavy:size=medium:map_type=baseline:enemy_profile=heavy:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_medium,0,11,4,0,3,13,11,4,12,0.09,1,0.9540229885057471,0.12121212121212122,4,4,4,7.0,10
griddly,mcts_medium,200,30,1.4142135623730951,medium,baseline,heavy,many,open,high,many,low,4,2,enemy_profile,heavy,120,11,26,37,ofat_real,ofat:factor=enemy_profile:value=heavy:size=medium:map_type=baseline:enemy_profile=heavy:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_medium,1,20,3,1,0,13,11,4,15,0.09,1,0.9523809523809523,0.15151515151515152,6,6,4,10.75,14
griddly,mcts_medium,200,30,1.4142135623730951,medium,baseline,heavy,many,open,high,many,low,4,2,enemy_profile,heavy,120,11,27,38,ofat_real,ofat:factor=enemy_profile:value=heavy:size=medium:map_type=baseline:enemy_profile=heavy:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_medium,0,8,4,0,4,13,11,4,5,0.09,1,0.9574468085106383,0.050505050505050504,1,1,4,5.0,6
griddly,mcts_medium,200,30,1.4142135623730951,medium,baseline,heavy,many,open,high,many,low,4,2,enemy_profile,heavy,120,11,28,39,ofat_real,ofat:factor=enemy_profile:value=heavy:size=medium:map_type=baseline:enemy_profile=heavy:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_medium,0,13,4,0,2,13,11,4,11,0.09,1,0.9545454545454546,0.1111111111111111,6,7,2,5.5,7
griddly,mcts_medium,200,30,1.4142135623730951,medium,baseline,heavy,many,open,high,many,low,4,2,enemy_profile,heavy,120,11,29,40,ofat_real,ofat:factor=enemy_profile:value=heavy:size=medium:map_type=baseline:enemy_profile=heavy:item_profile=many:wall_profile=open:player_hp=4:enemy_hp=2:agent=mcts_medium,0,18,4,0,2,13,11,4,9,0.09,1,0.9444444444444444,0.09090909090909091,3,3,4,7.0,10
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,0,11,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,11,4,0,3,13,11,3,16,0.09,1,0.963855421686747,0.16161616161616163,6,8,4,4.333333333333333,5
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,1,12,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,9,4,0,2,13,11,3,7,0.09,1,0.967391304347826,0.0707070707070707,2,2,3,5.0,7
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,2,13,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,10,4,0,3,13,11,3,8,0.09,1,0.967032967032967,0.08080808080808081,3,5,2,5.333333333333333,9
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,3,14,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,12,4,0,3,13,11,3,6,0.09,1,0.967741935483871,0.06060606060606061,2,4,3,8.333333333333334,12
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,4,15,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,12,4,0,3,13,11,3,8,0.09,1,0.967032967032967,0.08080808080808081,2,3,3,5.0,7
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,5,16,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,11,4,0,3,13,11,3,10,0.09,1,0.9662921348314607,0.10101010101010101,5,10,7,8.666666666666666,10
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,6,17,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,15,4,0,3,13,11,3,8,0.09,1,0.967032967032967,0.08080808080808081,2,4,6,10.0,13
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,7,18,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,10,4,0,3,13,11,3,7,0.09,1,0.967391304347826,0.0707070707070707,1,1,7,7.666666666666667,8
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,8,19,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,13,4,0,3,13,11,3,11,0.09,1,0.9659090909090909,0.1111111111111111,3,3,4,7.666666666666667,14
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,9,20,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,12,4,0,2,13,11,3,11,0.09,1,0.9659090909090909,0.1111111111111111,2,3,6,8.333333333333334,11
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,10,21,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,9,4,0,3,13,11,3,7,0.09,1,0.967391304347826,0.0707070707070707,2,2,3,5.333333333333333,9
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,11,22,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,6,4,0,2,13,11,3,9,0.09,1,0.9666666666666667,0.09090909090909091,4,9,2,3.6666666666666665,7
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,12,23,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,13,4,0,3,13,11,3,5,0.09,1,0.9680851063829787,0.050505050505050504,0,0,5,5.333333333333333,6
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,13,24,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,9,4,0,3,13,11,3,8,0.09,1,0.967032967032967,0.08080808080808081,2,2,5,5.666666666666667,6
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,14,25,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,19,4,0,2,13,11,3,14,0.09,1,0.9647058823529412,0.1414141414141414,2,3,6,7.333333333333333,8
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,15,26,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,8,4,0,3,13,11,3,10,0.09,1,0.9662921348314607,0.10101010101010101,6,8,2,3.3333333333333335,6
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,16,27,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,9,4,0,3,13,11,3,13,0.09,1,0.9534883720930233,0.13131313131313133,3,4,3,6.0,9
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,17,28,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,15,4,0,2,13,11,3,12,0.09,1,0.9655172413793104,0.12121212121212122,5,5,6,7.0,8
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,18,29,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,13,4,0,2,13,11,3,10,0.09,1,0.9662921348314607,0.10101010101010101,2,3,6,7.333333333333333,8
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,19,30,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,9,4,0,3,13,11,3,7,0.09,1,0.967391304347826,0.0707070707070707,2,2,4,4.333333333333333,5
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,20,31,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,11,4,0,3,13,11,3,6,0.09,1,0.967741935483871,0.06060606060606061,1,1,4,8.666666666666666,13
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,21,32,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,15,4,0,3,13,11,3,12,0.09,1,0.9655172413793104,0.12121212121212122,3,3,4,7.333333333333333,10
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,22,33,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,13,4,0,3,13,11,3,10,0.09,1,0.9662921348314607,0.10101010101010101,0,0,5,7.0,11
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,23,34,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,10,4,0,3,13,11,3,7,0.09,1,0.967391304347826,0.0707070707070707,2,4,4,7.666666666666667,14
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,24,35,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,10,4,0,3,13,11,3,8,0.09,1,0.9560439560439561,0.08080808080808081,2,3,2,3.3333333333333335,6
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,25,36,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,11,4,0,3,13,11,3,12,0.09,1,0.9655172413793104,0.12121212121212122,1,1,4,6.333333333333333,10
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,26,37,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,17,4,0,3,13,11,3,15,0.09,1,0.9523809523809523,0.15151515151515152,3,3,4,9.0,12
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,27,38,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,12,4,0,2,13,11,3,5,0.09,1,0.9680851063829787,0.050505050505050504,1,1,5,5.333333333333333,6
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,28,39,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,9,4,0,3,13,11,3,11,0.09,1,0.9659090909090909,0.1111111111111111,3,5,2,5.0,7
griddly,random,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,29,40,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=random,0,22,4,0,1,13,11,3,9,0.09,1,0.9555555555555556,0.09090909090909091,1,2,5,8.0,10
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,0,11,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,5,4,0,3,13,11,3,16,0.09,1,0.963855421686747,0.16161616161616163,6,8,4,4.333333333333333,5
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,1,12,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,1,10,3,1,0,13,11,3,7,0.09,1,0.967391304347826,0.0707070707070707,2,2,3,5.0,7
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,2,13,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,8,4,0,1,13,11,3,8,0.09,1,0.967032967032967,0.08080808080808081,3,5,2,5.333333333333333,9
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,3,14,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,9,4,0,1,13,11,3,6,0.09,1,0.967741935483871,0.06060606060606061,2,4,3,8.333333333333334,12
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,4,15,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,1,10,3,1,0,13,11,3,8,0.09,1,0.967032967032967,0.08080808080808081,2,3,3,5.0,7
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,5,16,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,1,14,3,1,0,13,11,3,10,0.09,1,0.9662921348314607,0.10101010101010101,5,10,7,8.666666666666666,10
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,6,17,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,11,4,0,1,13,11,3,8,0.09,1,0.967032967032967,0.08080808080808081,2,4,6,10.0,13
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,7,18,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,11,4,0,1,13,11,3,7,0.09,1,0.967391304347826,0.0707070707070707,1,1,7,7.666666666666667,8
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,8,19,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,5,4,0,2,13,11,3,11,0.09,1,0.9659090909090909,0.1111111111111111,3,3,4,7.666666666666667,14
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,9,20,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,11,4,0,1,13,11,3,11,0.09,1,0.9659090909090909,0.1111111111111111,2,3,6,8.333333333333334,11
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,10,21,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,8,4,0,1,13,11,3,7,0.09,1,0.967391304347826,0.0707070707070707,2,2,3,5.333333333333333,9
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,11,22,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,4,4,0,3,13,11,3,9,0.09,1,0.9666666666666667,0.09090909090909091,4,9,2,3.6666666666666665,7
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,12,23,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,10,4,0,1,13,11,3,5,0.09,1,0.9680851063829787,0.050505050505050504,0,0,5,5.333333333333333,6
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,13,24,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,9,4,0,1,13,11,3,8,0.09,1,0.967032967032967,0.08080808080808081,2,2,5,5.666666666666667,6
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,14,25,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,1,12,3,1,0,13,11,3,14,0.09,1,0.9647058823529412,0.1414141414141414,2,3,6,7.333333333333333,8
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,15,26,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,8,4,0,1,13,11,3,10,0.09,1,0.9662921348314607,0.10101010101010101,6,8,2,3.3333333333333335,6
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,16,27,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,11,4,0,1,13,11,3,13,0.09,1,0.9534883720930233,0.13131313131313133,3,4,3,6.0,9
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,17,28,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,6,4,0,2,13,11,3,12,0.09,1,0.9655172413793104,0.12121212121212122,5,5,6,7.0,8
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,18,29,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,9,4,0,1,13,11,3,10,0.09,1,0.9662921348314607,0.10101010101010101,2,3,6,7.333333333333333,8
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,19,30,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,5,4,0,2,13,11,3,7,0.09,1,0.967391304347826,0.0707070707070707,2,2,4,4.333333333333333,5
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,20,31,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,1,11,3,1,0,13,11,3,6,0.09,1,0.967741935483871,0.06060606060606061,1,1,4,8.666666666666666,13
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,21,32,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,0,9,4,0,1,13,11,3,12,0.09,1,0.9655172413793104,0.12121212121212122,3,3,4,7.333333333333333,10
griddly,heuristic,,,,medium,baseline,medium_plus,few,open,medium_plus,few,low,4,2,item_profile,few,120,11,22,33,ofat_real,ofat:factor=item_profile:value=few:size=medium:map_type=baseline:enemy_profile=medium_plus:item_profile=few:wall_profile=open:player_hp=4:enemy_hp=2:agent=heuristic,1,10,3,1,0,13,11,3,10,0.09,1,0.9662921348314607,0.10101010101010101,0,0,5,7.0,11
